Jamaïque,la,féminin,à la Jamaïque
Japon,le,masculin,au Japon
Jordanie,la,féminin,en Jordanie
Kazakhstan,le,masculin,au Kazakhstan
Kenya,le,masculin,au Kenya
Kiribati,sans article,féminin,à Kiribati
Kirghizistan,le,masculin,au Kirghizistan
Kosovo,le,masculin,au Kosovo
Koweït,le,masculin,au Koweït
Laos,le,masculin,au Laos
Lesotho,le,masculin,au Lesotho
Lettonie,la,féminin,en Lettonie
Liban,le,masculin,au Liban
Libéria,le,masculin,au Libéria
Libye,la,féminin,en Libye
Liechtenstein,le,masculin,au Liechtenstein
Lituanie,la,féminin,en Lituanie
Luxembourg,le,masculin,au Luxembourg
Macédoine,la,féminin,en Macédoine
Madagascar,sans article,féminin,à Madagascar
Malaisie,la,féminin,en Malaisie
Malawi,le,masculin,au Malawi
Maldives,les,féminin,aux Maldives
Mali,le,masculin,au Mali
Malte,sans article,féminin,à Malte
Maroc,le,masculin,au Maroc
Mauritanie,la,féminin,en Mauritanie
Mexique,le,masculin,au Mexique
Micronésie,la,féminin,en Micronésie
Moldavie,la,féminin,en Moldavie
Monaco,sans article,masculin,à Monaco
Monténégro,le,masculin,au Monténégro
Mozambique,le,masculin,au Mozambique
Namibie,la,féminin,en Namibie
Nauru,sans article,féminin,à Nauru
Népal,le,masculin,au Népal
Nicaragua,le,masculin,au Nicaragua
Niger,le,masculin,au Niger
Nigéria,le,masculin,au Nigéria
Norvège,la,féminin,en Norvège
Nouvelle-Zélande,la,féminin,en Nouvelle-Zélande
Oman,sans article,masculin,à Oman
Ouganda,l’,masculin,en Ouganda
Ouzbékistan,l’,masculin,en Ouzbékistan
Pakistan,le,masculin,au Pakistan
Palaos,les,féminin,aux Palaos
Panama,le,masculin,au Panama
Papouasie-Nouvelle-Guinée,la,féminin,en Papouasie-Nouvelle-Guinée
Paraguay,le,masculin,au Paraguay
Pays-Bas,les,masculin,aux Pays-Bas
Pérou,le,masculin,au Pérou
Philippines,les,féminin,aux Philippines
Pologne,la,féminin,en Pologne
Portugal,le,masculin,au Portugal
Qatar,le,masculin,au Qatar
République centrafricaine,la,féminin,en République centrafricaine
République démocratique du Congo,la,féminin,en République démocratique du Congo
République dominicaine,la,féminin,en République dominicaine
République tchèque,la,féminin,en République tchèque
Roumanie,la,féminin,en Roumanie
Royaume-Uni,le,masculin,au Royaume-Uni
Russie,la,féminin,en Russie
Rwanda,le,masculin,au Rwanda
Saint-Christophe-et-Niévès,sans article,masculin,à Saint-Christophe-et-Niévès
Sainte-Lucie,sans article,féminin,à Sainte-Lucie
Saint-Marin,sans article,masculin,à Saint-Marin
Saint-Vincent-et-les-Grenadines,sans article,masculin,à Saint-Vincent-et-les-Grenadines
Saint-Siège,le,masculin,au Saint-Siège
Salvador,le,masculin,au Salvador
Samoa,le,masculin,au Samoa
Sao Tomé-et-Principe,sans article,féminin,à Sao Tomé-et-Principe
Sénégal,le,masculin,au Sénégal
Serbie,la,féminin,en Serbie
Seychelles,les,féminin,aux Seychelles
Sierra Leone,la,féminin,en Sierra Leone
Singapour,sans article,féminin,à Singapour
Slovaquie,la,féminin,en Slovaquie
Slovénie,la,féminin,en Slovénie
Somalie,la,féminin,en Somalie
Soudan,le,masculin,au Soudan
Soudan du Sud,le,masculin,au Soudan du Sud
Sri Lanka,le,masculin,au Sri Lanka
Suède,la,féminin,en Suède
Suisse,la,féminin,en Suisse
Suriname,le,masculin,au Suriname
Swaziland,le,masculin,au Swaziland
Syrie,la,féminin,en Syrie
Tadjikistan,le,masculin,au Tadjikistan
Taïwan,sans article,féminin,à Taïwan
Tanzanie,la,féminin,en Tanzanie
Tchad,le,masculin,au Tchad
Thaïlande,la,féminin,en Thaïlande
Timor Oriental,le,masculin,au Timor Oriental
Togo,le,masculin,au Togo
Tonga,les,féminin,aux Tonga
Trinité-et-Tobago,sans article,féminin,à Trinité-et-Tobago
Tunisie,la,féminin,en Tunisie
Turquie,la,féminin,en Turquie
Turkménistan,le,masculin,au Turkménistan
Tuvalu,sans article,masculin,à Tuvalu
Ukraine,l’,féminin,en Ukraine
Uruguay,l’,masculin,en Uruguay
Vanuatu,sans article,masculin,à Vanuatu
Venezuela,le,masculin,au Venezuela
Vietnam,le,masculin,au Vietnam
Yémen,le,masculin,au Yémen
Zambie,la,féminin,en Zambie
Zimbabwe,le,masculin,au Zimbabwe
